comment,processed_data
By not allowing/ensuring delegates manage the FTE & budgets of their team excessive processes have been implemented. ,"['allow', 'ensure', 'delegate', 'manage', 'FTE', 'budget', 'team', 'excessive', 'process', 'implement']"
Would prefer to see better performance management of staff not complying with delegations,"['prefer', 'well', 'performance', 'management', 'staff', 'comply', 'delegation']"
Admin approvals should take less than 24hrs.  Too many layered approvals required. Too hard to get higher level delegates to approve things quickly!,"['admin', 'approval', '24hrs', 'layer', 'approval', 'require', 'hard', 'high', 'level', 'delegate', 'approve', 'thing', 'quickly']"
Delays in approvals. Required level/delegates for approvals,"['delay', 'approval', 'require', 'level', 'delegate', 'approval']"
Bring it back to local management level,"['bring', 'local', 'management', 'level']"
redundant information pathways leading to out-of-date guidance,"['redundant', 'information', 'pathway', 'lead', 'date', 'guidance']"
refresh of local info to guide who to go to for what,"['refresh', 'local', 'info', 'guide']"
unclear pathways to follow for approvals as technology or process shifts (reconnecting dept'l process with local application rulesets),"['unclear', 'pathway', 'follow', 'approval', 'technology', 'process', 'shift', 'reconnecte', 'dept', 'process', 'local', 'application', 'ruleset']"
we have old sharepoints running alongside new sharepoints on teams with multiple browsers. we need to refresh at branch levels local process flows,"['old', 'sharepoint', 'run', 'alongside', 'new', 'sharepoint', 'team', 'multiple', 'browser', 'need', 'refresh', 'branch', 'level', 'local', 'process', 'flow']"
"adaptive to big changes this year in tech platform, staff changes, reporting shifts, a/arrangements (so we can train staff in correct process)","['adaptive', 'big', 'change', 'year', 'tech', 'platform', 'staff', 'change', 'report', 'shift', 'arrangement', 'train', 'staff', 'correct', 'process']"
"use of PARIS to align contracts, finance, HR reporting and Aurion as central conduit to process has helped. not all yet online but getting there. hopefully soon to real-time reporting and for budget build conversations and variance reporting.","['use', 'PARIS', 'align', 'contract', 'finance', 'HR', 'reporting', 'Aurion', 'central', 'conduit', 'process', 'help', 'online', 'get', 'hopefully', 'soon', 'real', 'time', 'report', 'budget', 'build', 'conversation', 'variance', 'report']"
scheduled time for branch process capture and recurring meeting to review function (improved governance structure visible to all of branch),"['schedule', 'time', 'branch', 'process', 'capture', 'recur', 'meeting', 'review', 'function', 'improve', 'governance', 'structure', 'visible', 'branch']"
"Travel - travel has been DDG approved in project plans. Before we book travel we seek Director approval, then a form is filled in to add all details into a MECS item which then goes to ED for endorsement and DDG for final approval before we can book. This can take over 1 working week to be finalised hence we miss out on cheaper airfares, vehicles, and accommodation. We often only have short notice for booking travel due to weather and instrument maintenance. Obtaining 4WD vehicles in Mackay is particularly tricky at the last minute. Is it possible to stop at Director level for Covid19 clearance?","['travel', 'travel', 'DDG', 'approve', 'project', 'plan', 'book', 'travel', 'seek', 'Director', 'approval', 'form', 'fill', 'add', 'detail', 'MECS', 'item', 'go', 'ED', 'endorsement', 'ddg', 'final', 'approval', 'book', '1', 'working', 'week', 'finalise', 'miss', 'cheap', 'airfare', 'vehicle', 'accommodation', 'short', 'notice', 'booking', 'travel', 'weather', 'instrument', 'maintenance', 'obtain', '4wd', 'vehicle', 'Mackay', 'particularly', 'tricky', 'minute', 'possible', 'stop', 'Director', 'level', 'covid19', 'clearance']"
"If the full approval process for travel needs to be done (ie Director, ED then DDG), it would be beneficial for this to be a fully automated system. Staff are also filling in field trip forms for travel, which include approval from their manager, then the travel for these field trips is another separate process. Can they be combined? The time taken between field officers submitting field trip forms and travel being finally DDG approved, can result in more expensive flights, requesting vehicle hire from CTM using non-contracted providers, and more expensive accommodation especially along the coastline during holiday season. If our teams are towing boats, then accommodation that allows parking for 4WD & boat can be booked out in certain areas during school holidays. We try to request early where possible.","['approval', 'process', 'travel', 'need', 'ie', 'Director', 'ED', 'DDG', 'beneficial', 'fully', 'automate', 'system', 'Staff', 'fill', 'field', 'trip', 'form', 'travel', 'include', 'approval', 'manager', 'travel', 'field', 'trip', 'separate', 'process', 'combine', 'time', 'take', 'field', 'officer', 'submit', 'field', 'trip', 'form', 'travel', 'finally', 'DDG', 'approve', 'result', 'expensive', 'flight', 'request', 'vehicle', 'hire', 'CTM', 'non', 'contract', 'provider', 'expensive', 'accommodation', 'especially', 'coastline', 'holiday', 'season', 'team', 'tow', 'boat', 'accommodation', 'allow', 'parking', '4wd', 'boat', 'book', 'certain', 'area', 'school', 'holiday', 'try', 'request', 'early', 'possible']"
"Purchasing stationery, thankfully we can now buy click pens!","['purchasing', 'stationery', 'thankfully', 'buy', 'click', 'pen']"
justification of positions for HD; restrictions on backfilling,"['justification', 'position', 'hd', 'restriction', 'backfille']"
"Approval times are excessive; having to repeatedly apply for same positions is inefficient, time consuming and often unneccesary","['approval', 'time', 'excessive', 'have', 'repeatedly', 'apply', 'position', 'inefficient', 'time', 'consume', 'unneccesary']"
More consideration for Managers/Directors/ED's input,"['consideration', 'manager', 'Directors', 'ED', 'input']"
Sometimes too many people are involved in the same one person process,"['people', 'involve', 'person', 'process']"
Technology - sometimes interfacing with too many systems.,"['technology', 'interface', 'system']"
"electronic signatures, fewer chains of approval for minor things","['electronic', 'signature', 'few', 'chain', 'approval', 'minor', 'thing']"
PARIS  (Portfolio Activity Reporting Information System),"['PARIS', 'Portfolio', 'Activity', 'report', 'Information', 'system']"
Booking approved travel,"['book', 'approve', 'travel']"
some correspondence  that is junior and low risk still need Dircetor approval,"['correspondence', 'junior', 'low', 'risk', 'need', 'Dircetor', 'approval']"
some grant processes have mutiple approval levels that need fewer,"['grant', 'process', 'mutiple', 'approval', 'level', 'need', 'few']"
some document checking is done by multiple people duplicating activity,"['document', 'checking', 'multiple', 'people', 'duplicate', 'activity']"
some correspondence is referred to Department  that is answerable by  Ministers office with available information or by doing the same level of googling that  department staff do to answer the question,"['correspondence', 'refer', 'Department', 'answerable', 'minister', 'office', 'available', 'information', 'level', 'google', 'department', 'staff', 'answer', 'question']"
Bottlenecks can occur as so much has to go through single person  and some is unnecessary,"['bottleneck', 'occur', 'single', 'person', 'unnecessary']"
changing the way DTIV's are approved  to an online only process,"['change', 'way', 'DTIV', 'approve', 'online', 'process']"
My branch adding an additional level of detail and approval then what is required by EPP making it almost impossible for travel to occur,"['branch', 'add', 'additional', 'level', 'detail', 'approval', 'require', 'EPP', 'make', 'impossible', 'travel', 'occur']"
Having to complete a risk assessment for any off site meeting and travel  ,"['have', 'complete', 'risk', 'assessment', 'site', 'meeting', 'travel']"
Approval of minor things by ED or higher,"['approval', 'minor', 'thing', 'ed', 'high']"
Duplication is just unnecessary and ED approval shouldn't need to be required for minor things like travel (outside of COVID times),"['duplication', 'unnecessary', 'ed', 'approval', 'shouldn', 'need', 'require', 'minor', 'thing', 'like', 'travel', 'outside', 'COVID', 'time']"
Too many provisions in Regs to consider for deciding applications that are very low risk e.g. commercial activity permits.  ,"['provision', 'Regs', 'consider', 'decide', 'application', 'low', 'risk', 'commercial', 'activity', 'permit']"
Weak Regulation enforcement provisions results in excessive workload dealing with non-compliant problem clients.,"['Weak', 'Regulation', 'enforcement', 'provision', 'result', 'excessive', 'workload', 'deal', 'non', 'compliant', 'problem', 'client']"
permits required for very low risk activities in parks and forests; ,"['permit', 'require', 'low', 'risk', 'activity', 'park', 'forest']"
formally responding to frivolous or vexatious complaints that should be vetted; ,"['formally', 'respond', 'frivolous', 'vexatious', 'complaint', 'vet']"
lack of clear policy or procedures results in ad hoc poor decisions; ,"['lack', 'clear', 'policy', 'procedure', 'result', 'ad', 'hoc', 'poor', 'decision']"
"too many untrained people involved in permit decisions, slows down the process, results in backlogs, unhappy clients, responding to complaints...  ","['untrained', 'people', 'involve', 'permit', 'decision', 'slow', 'process', 'result', 'backlog', 'unhappy', 'client', 'respond', 'complaint']"
"Inefficient processes and procedures result in excessive work loads for low risk matters that cause backlogs, poor customer service, increase in customer complaints, drop in morale and job satisfaction, health and well-being impacts, ","['inefficient', 'process', 'procedure', 'result', 'excessive', 'work', 'load', 'low', 'risk', 'matter', 'cause', 'backlog', 'poor', 'customer', 'service', 'increase', 'customer', 'complaint', 'drop', 'morale', 'job', 'satisfaction', 'health', 'impact']"
ESS and QSS is much better than previous systems ,"['ESS', 'QSS', 'well', 'previous', 'system']"
"Base approvals on sound decisions by ensuring decision makers are given accurate and concise advice, based on clear and concise procedures and policies, prepared by well trained technical staff and not numerous people that don't value add to decisions.","['base', 'approval', 'sound', 'decision', 'ensure', 'decision', 'maker', 'give', 'accurate', 'concise', 'advice', 'base', 'clear', 'concise', 'procedure', 'policy', 'prepare', 'train', 'technical', 'staff', 'numerous', 'people', 'don', 'value', 'add', 'decision']"
Very happy to contribute to solutions via workshops to identify root causes of excessive work loads which aren't necessarily caused by red tape or aren't readily apparent; taking on more and more unfunded work is a good place to start. Time to assert what we are going to stop doing as budgets continue to tighten!,"['happy', 'contribute', 'solution', 'workshop', 'identify', 'root', 'cause', 'excessive', 'work', 'load', 'aren', 'necessarily', 'cause', 'red', 'tape', 'aren', 'readily', 'apparent', 'take', 'unfunded', 'work', 'good', 'place', 'start', 'Time', 'assert', 'go', 'stop', 'budget', 'continue', 'tighten']"
unknown and unrecorded EMP processes for recruitment. Teams have no control over ability to recruit. ,"['unknown', 'unrecorded', 'emp', 'process', 'recruitment', 'Teams', 'control', 'ability', 'recruit']"
"Clear and transparent local processes for EMP, alerts and reporting","['clear', 'transparent', 'local', 'process', 'emp', 'alert', 'report']"
"There is no clarity, direction or transparceny about what is required for EMP and alerts. ","['clarity', 'direction', 'transparceny', 'require', 'emp', 'alert']"
returning from long leave required several forms to payroll and timesheets in Aurion. It seems they don't talk to eachother so I had to fill out seperate return to work forms. I didn't get paid until both were done.,"['return', 'long', 'leave', 'require', 'form', 'payroll', 'timesheet', 'Aurion', 'don', 'talk', 'eachother', 'fill', 'seperate', 'return', 'work', 'form', 'didn', 'pay']"
"duplication, time consuming.","['duplication', 'time', 'consume']"
Can timesheets in Aurion be approved in batches of at least two weeks.,"['timesheet', 'Aurion', 'approve', 'batch', 'week']"
I often think that some reporting especially on sharepoint docs is not explained well so it takes some time to work out what is required.,"['think', 'report', 'especially', 'sharepoint', 'doc', 'explain', 'take', 'time', 'work', 'require']"
"as per previous comments, sharepoint docs are often difficult to interpret (they are not always set up with the end-users in mind); we usually get to the bottom of things once we ask enough people and spend enough time... which indicates a need for clear wording in instructions.","['previous', 'comment', 'sharepoint', 'doc', 'difficult', 'interpret', 'set', 'end', 'user', 'mind', 'usually', 'thing', 'ask', 'people', 'spend', 'time', 'indicate', 'need', 'clear', 'wording', 'instruction']"
Love the single sign-on in ESS Aurion!,"['love', 'single', 'sign', 'ESS', 'Aurion']"
"Since the drastic reduction in department administrative capacity, red tape has become more prevalent than ever. Unfortunately the department has chosen to engage administrative functions to increase the red tape, rather than provide the administrative staff where it is most needed, to support the efficient functioning of the department. ","['drastic', 'reduction', 'department', 'administrative', 'capacity', 'red', 'tape', 'prevalent', 'unfortunately', 'department', 'choose', 'engage', 'administrative', 'function', 'increase', 'red', 'tape', 'provide', 'administrative', 'staff', 'need', 'support', 'efficient', 'functioning', 'department']"
There has also been an additional layer added to the executive level which provides another stumbling block in progression of information or approvals processes. ,"['additional', 'layer', 'add', 'executive', 'level', 'provide', 'stumble', 'block', 'progression', 'information', 'approval', 'process']"
New online Procurement process,"['new', 'online', 'Procurement', 'process']"
HRM Claims Integrity and Salary & Exp Reports; ,"['HRM', 'Claims', 'Integrity', 'Salary', 'Exp', 'Reports']"
some newly implemented SEQR reporting more suited to ESR than QPWS.....,"['newly', 'implement', 'seqr', 'report', 'suited', 'ESR', 'QPWS']"
Online procurement with more documentation than the old version,"['online', 'procurement', 'documentation', 'old', 'version']"
"Duplication of processes and responses are incredibly inefficient. It seems additional administrative staff in CO has resulted in more of these, which makes the workload of the few out in the Regional areas unrealistic. ","['duplication', 'process', 'response', 'incredibly', 'inefficient', 'additional', 'administrative', 'staff', 'CO', 'result', 'make', 'workload', 'regional', 'area', 'unrealistic']"
"Processes should be simple, reasonable and non-repetitive and perform a meaningful function. They should also support business outcomes, not hinder. ","['process', 'simple', 'reasonable', 'non', 'repetitive', 'perform', 'meaningful', 'function', 'support', 'business', 'outcome', 'hinder']"
"Unfortunately since 2013 administrative functions have become overwhelming, with many functions now having to be carried out by operational / field staff. Rather than learing the lesson, the department seemingly has continued on this path exponetially especially within the covid period. Sadly much of the public perception of the public service is aligning with reality. I am a great advocate of the work on the PS but very disolussioned atm. ","['unfortunately', '2013', 'administrative', 'function', 'overwhelming', 'function', 'have', 'carry', 'operational', 'field', 'staff', 'leare', 'lesson', 'department', 'seemingly', 'continue', 'path', 'exponetially', 'especially', 'covid', 'period', 'sadly', 'public', 'perception', 'public', 'service', 'align', 'reality', 'great', 'advocate', 'work', 'PS', 'disolussione', 'atm']"
"Asset management, travel documentations/approvals","['asset', 'management', 'travel', 'documentation', 'approval']"
Some extra delegations (travel) have been implemented due to COVID and need to be reduced as it is causing confusion and unnecessary work for Director+ where no longer needed.,"['extra', 'delegation', 'travel', 'implement', 'covid', 'need', 'reduce', 'cause', 'confusion', 'unnecessary', 'work', 'Director', 'long', 'need']"
"My team have indroduced a single form to allow approval for travel that combines WHS, accommodation, flights, home garaging forms into 1 form.  Much less paperwork and reduces how many forms need to be approved by management.","['team', 'indroduce', 'single', 'form', 'allow', 'approval', 'travel', 'combine', 'WHS', 'accommodation', 'flight', 'home', 'garaging', 'form', '1', 'form', 'paperwork', 'reduce', 'form', 'need', 'approve', 'management']"
There is a lack of clear direction and guidance out there (online) for applicants (pre-lodgement & authority holders) at the front end (e.g. particularly for drone/UAV use AND Research Permits for State Marine Parks and Protected Areas). ,"['lack', 'clear', 'direction', 'guidance', 'online', 'applicant', 'pre', 'lodgement', 'authority', 'holder', 'end', 'particularly', 'drone', 'UAV', 'use', 'research', 'permit', 'State', 'Marine', 'Parks', 'Protected', 'Areas']"
"If they (permit applicants) can operate fit into compliance with a 'code', we could reduce low risk permits so we can focus more on high risk. ","['permit', 'applicant', 'operate', 'fit', 'compliance', 'code', 'reduce', 'low', 'risk', 'permit', 'focus', 'high', 'risk']"
Also Native Title processes (lack of ILUAs) holding applications up.,"['Native', 'Title', 'process', 'lack', 'ilua', 'hold', 'application']"
"There is a lack of clear direction and guidance out there (online) for applicants (pre-lodgement & authority holders) at the front end (e.g. particularly for drone/UAV use AND Research Permits for State Marine Parks and Protected Areas). If they can operate fit into compliance with a 'code', we could reduce low risk permits so we can focus more on high risk. Also Native Title processes (lack of ILUAs) holding applications up.","['lack', 'clear', 'direction', 'guidance', 'online', 'applicant', 'pre', 'lodgement', 'authority', 'holder', 'end', 'particularly', 'drone', 'UAV', 'use', 'research', 'permit', 'State', 'Marine', 'Parks', 'Protected', 'Areas', 'operate', 'fit', 'compliance', 'code', 'reduce', 'low', 'risk', 'permit', 'focus', 'high', 'risk', 'Native', 'Title', 'process', 'lack', 'ilua', 'hold', 'application']"
"Policy Development / Review – e.g. drone/UAV use. Regulation review to reduce low risk permits so we can focus more on high risk. Too much time gets wasted on low risk activities. If they can operate fit into compliance with a 'code', we could reduce low risk permits so we can focus more on high risk. Development of online communication (once our internal process is sorted out!) of clear direction and guidance for applicants (pre-lodgement & authority holders) at the front end. Examples -  drone/UAV use for State Marine Parks and Protected Areas; Research Permits (Application - what needs to be applied for, with who/how/where to apply, and then importantly specifically WHERE the application is for – ties in with Native Title process red-tape! Native Title processes (lack of ILUAs) holding applications up.","['Policy', 'Development', 'Review', 'drone', 'UAV', 'use', 'Regulation', 'review', 'reduce', 'low', 'risk', 'permit', 'focus', 'high', 'risk', 'time', 'get', 'waste', 'low', 'risk', 'activity', 'operate', 'fit', 'compliance', 'code', 'reduce', 'low', 'risk', 'permit', 'focus', 'high', 'risk', 'Development', 'online', 'communication', 'internal', 'process', 'sort', 'clear', 'direction', 'guidance', 'applicant', 'pre', 'lodgement', 'authority', 'holder', 'end', 'example', 'drone', 'UAV', 'use', 'State', 'Marine', 'Parks', 'Protected', 'Areas', 'Research', 'permit', 'application', 'need', 'apply', 'apply', 'importantly', 'specifically', 'application', 'tie', 'Native', 'Title', 'process', 'red', 'tape', 'Native', 'Title', 'process', 'lack', 'ilua', 'hold', 'application']"
"Policy Development / Review – e.g. drone/UAV use. Regulation review to reduce low risk permits so we can focus more on high risk. Too much time gets wasted on low risk activities. If they can operate fit into compliance with a 'code', we could reduce low risk permits so we can focus more on high risk.  Development of online communication (and hopefully our internal assessment process is sorted out!) of clear direction and guidance for applicants (pre-lodgement & authority holders) at the front end. Examples -  drone/UAV use for State Marine Parks and Protected Areas; Research Permits (Application - what needs to be applied for, with who/how/where to apply, and then importantly specifically WHERE the application is for – ties in with Native Title process red-tape!  Native Title processes (lack of ILUAs) holding applications up.  ","['Policy', 'Development', 'Review', 'drone', 'UAV', 'use', 'Regulation', 'review', 'reduce', 'low', 'risk', 'permit', 'focus', 'high', 'risk', 'time', 'get', 'waste', 'low', 'risk', 'activity', 'operate', 'fit', 'compliance', 'code', 'reduce', 'low', 'risk', 'permit', 'focus', 'high', 'risk', 'Development', 'online', 'communication', 'hopefully', 'internal', 'assessment', 'process', 'sort', 'clear', 'direction', 'guidance', 'applicant', 'pre', 'lodgement', 'authority', 'holder', 'end', 'example', 'drone', 'UAV', 'use', 'State', 'Marine', 'Parks', 'Protected', 'Areas', 'Research', 'permit', 'application', 'need', 'apply', 'apply', 'importantly', 'specifically', 'application', 'tie', 'Native', 'Title', 'process', 'red', 'tape', 'Native', 'Title', 'process', 'lack', 'ilua', 'hold', 'application']"
"Standard 'Roving' Commercial Activity Permit - Pay & Print version online if your operation can fit within the 'low risk' parameters. 'Class Assessment' for these applications -- this may be able to be applied to Native Title notifications for activities that fit into the 'low risk, low impact' category. Compliance with 'Codes' (e.g. as for small mining operations with MBC, ESR) that are published and externally available -- this could be applied to drone/UAV use. i.e. comply with the 'Code' and notify of intended use/access on Protected Area or State Marine Park, with further consultation and/or permit assessment triggered if outside the stipulated parameters.","['standard', 'rove', 'Commercial', 'Activity', 'Permit', 'pay', 'print', 'version', 'online', 'operation', 'fit', 'low', 'risk', 'parameter', 'Class', 'Assessment', 'application', 'able', 'apply', 'Native', 'Title', 'notification', 'activity', 'fit', 'low', 'risk', 'low', 'impact', 'category', 'Compliance', 'code', 'small', 'mining', 'operation', 'MBC', 'ESR', 'publish', 'externally', 'available', 'apply', 'drone', 'UAV', 'use', 'comply', 'Code', 'notify', 'intend', 'use', 'access', 'Protected', 'Area', 'State', 'Marine', 'Park', 'consultation', 'permit', 'assessment', 'trigger', 'outside', 'stipulated', 'parameter']"
"Standard 'Roving' Commercial Activity Permit - Pay & Print version online if your operation can fit within the 'low risk' parameters. 'Class Assessment' for these applications -- this may be able to be applied to Native Title notifications for activities that fit into the 'low risk, low impact' category. Compliance with 'Codes' (e.g. as for small mining operations with MBC, ESR) that are published and externally available -- this could be applied to drone/UAV use. i.e. comply with the 'Code' and notify of intended use/access on Protected Area or State Marine Park, with further consultation and/or permit assessment triggered if outside the stipulated parameters. Development of better online communication (once our internal process is sorted out!) of clear direction and guidance for applicants (pre-lodgement & authority holders) at the front end. ","['standard', 'rove', 'Commercial', 'Activity', 'Permit', 'pay', 'print', 'version', 'online', 'operation', 'fit', 'low', 'risk', 'parameter', 'Class', 'Assessment', 'application', 'able', 'apply', 'Native', 'Title', 'notification', 'activity', 'fit', 'low', 'risk', 'low', 'impact', 'category', 'Compliance', 'code', 'small', 'mining', 'operation', 'MBC', 'ESR', 'publish', 'externally', 'available', 'apply', 'drone', 'UAV', 'use', 'comply', 'Code', 'notify', 'intend', 'use', 'access', 'Protected', 'Area', 'State', 'Marine', 'Park', 'consultation', 'permit', 'assessment', 'trigger', 'outside', 'stipulated', 'parameter', 'Development', 'well', 'online', 'communication', 'internal', 'process', 'sort', 'clear', 'direction', 'guidance', 'applicant', 'pre', 'lodgement', 'authority', 'holder', 'end']"
"Our Team has to spend a great deal of time and effort reviewing and commenting on various Policies etc. that we work with, although we do not get support or guidance from the ‘Policy Team’. Similarly, we do not seem to get support and guidance for Native Title processes and workload from the ‘Partnerships’ side of QPWS&P. There seems to be a lot of disjointed processes for assessments at the moment (e.g. for Research Permits with Wildlife Team (Protected Animals) and/or Permits Team (Protected Areas), especially after recent Reg changes). The ‘how to proceed’ needs to be addressed (guidelines etc.) so that it can be followed consistently across the teams. Please also read all my previous comments :)  Thank you for the opportunity to provide feedback.","['Team', 'spend', 'great', 'deal', 'time', 'effort', 'review', 'comment', 'policy', 'etc', 'work', 'support', 'guidance', 'Policy', 'Team', 'similarly', 'support', 'guidance', 'Native', 'Title', 'process', 'workload', 'partnership', 'QPWS', 'lot', 'disjointed', 'process', 'assessment', 'moment', 'Research', 'permit', 'Wildlife', 'Team', 'Protected', 'Animals', 'permit', 'Team', 'Protected', 'Areas', 'especially', 'recent', 'Reg', 'change', 'proceed', 'need', 'address', 'guideline', 'etc', 'follow', 'consistently', 'team', 'read', 'previous', 'comment', 'thank', 'opportunity', 'provide', 'feedback']"
Local SOA and tenders to reduce red tape in low risk contracts i.e clearing and mulching of fencelines; could be done for an area.,"['local', 'SOA', 'tender', 'reduce', 'red', 'tape', 'low', 'risk', 'contract', 'clearing', 'mulching', 'fenceline', 'area']"
QHlth - Hiring Managers/Delegates approval on recruitment flow included their accountability for Funding etc. No requirement for process such as EMP.,"['QHlth', 'Hiring', 'Managers', 'Delegates', 'approval', 'recruitment', 'flow', 'include', 'accountability', 'Funding', 'etc', 'requirement', 'process', 'EMP']"
"Purchase order amendment process form regional perspective, accompaining board, PR, RD, ED &DDG approvals","['purchase', 'order', 'amendment', 'process', 'form', 'regional', 'perspective', 'accompaine', 'board', 'PR', 'RD', 'ED', 'DDG', 'approval']"
cumbersome and difficult to obtain approvals from each individual in the process,"['cumbersome', 'difficult', 'obtain', 'approval', 'individual', 'process']"
Increase procurement levels requiring tender process to 50k  or 100K for low risk activities or core buisness.,"['increase', 'procurement', 'level', 'require', 'tender', 'process', '50k', '100', 'k', 'low', 'risk', 'activity', 'core', 'buisness']"
Financial approval amounts too low,"['financial', 'approval', 'amount', 'low']"
"Duplication of effort, poor automation and interface (Connect)","['duplication', 'effort', 'poor', 'automation', 'interface', 'connect']"
"Transfer of EAs now will not be undertaken as an assessment process, this will be automated between MMOL and Connect","['transfer', 'ea', 'undertake', 'assessment', 'process', 'automate', 'MMOL', 'connect']"
Don't repeat electronic and then on line approvals prcesses,"['Don', 'repeat', 'electronic', 'line', 'approval', 'prcesse']"
Regional procedures in addition to departmental prcoedures that provide no added benefit,"['regional', 'procedure', 'addition', 'departmental', 'prcoedure', 'provide', 'add', 'benefit']"
Processes have been put in place to support departmental procedures and provide no additional benefit to any level. Just justifies other positions are some level of the spectrum.,"['process', 'place', 'support', 'departmental', 'procedure', 'provide', 'additional', 'benefit', 'level', 'justify', 'position', 'level', 'spectrum']"
Spread responsibilities direct to regional offices instead of directorates. Use directorates for project work rather than every day administrative tasks. ,"['spread', 'responsibility', 'direct', 'regional', 'office', 'instead', 'directorate', 'Use', 'directorate', 'project', 'work', 'day', 'administrative', 'task']"
Job merit list valid from closing date not approval date creating unnecessary recruitment processes.,"['Job', 'merit', 'list', 'valid', 'closing', 'date', 'approval', 'date', 'create', 'unnecessary', 'recruitment', 'process']"
"Absolute waste of time in terms of approvals, double work-load. The Mineral Business Centre in shocking with its amount of red tape (required by the two managers and the director)","['absolute', 'waste', 'time', 'term', 'approval', 'double', 'work', 'load', 'Mineral', 'Business', 'Centre', 'shocking', 'red', 'tape', 'require', 'manager', 'director']"
duplication in procurement processes. ,"['duplication', 'procurement', 'process']"
Inefficient and expensive Recruitment and Selection processes (especially in rural areas where selection pool is limited). ,"['inefficient', 'expensive', 'Recruitment', 'Selection', 'process', 'especially', 'rural', 'area', 'selection', 'pool', 'limit']"
Overburden on expectations of knowledge in administration processes for junior / inexperienced / staff with other skill sets,"['Overburden', 'expectation', 'knowledge', 'administration', 'process', 'junior', 'inexperienced', 'staff', 'skill', 'set']"
