text	processed_data
Obtaining approval to carry out a pest management activity requires several endorsement stages that occur outside of FLAME. This means approvals can get stalled for very long periods, and the primary benefit of FLAME (managing approvals and endorsements, and keeping an indelible record of that process) is lost. Strategic documents and operation documents both require some endorsement or approval outside the FLAME system, and this process varies from region to region, and is largely undocumented. The recording of pest treatment data in FLAME is overly time consuming and duplicated elsewhere. FLAME does not collect much useful treatment information, and it is very difficult to retrieve the low-quality information that it does collect.	Obtaining approval to carry out pest management activity requires several endorsement stages that occur outside of FLAME This means approvals can get stalled for very long periods and the primary benefit of FLAME managing approvals and endorsements and keeping an indelible record of that process is lost Strategic documents and operation documents both require some endorsement or approval outside the FLAME system and this process varies from region to region and is largely undocumented The recording of pest treatment data in FLAME is overly time consuming and duplicated elsewhere FLAME does not collect much useful treatment information and it is very difficult to retrieve the low quality information that it does collect
Funding for pest management activities must be applied for each year, with funding cycles interrupting the main seasonal window for on-ground works (the northern dry season is split by the June/July FY break).  This means that long-term pest management programmes (most pest management activities - even early intervention eradication programs are at least 5-10 years long) are carried out inefficiently, with work frantically taking place in Q4 of a FY, followed by patiently waiting for another round of funding, then another frantic bout of activity from whenever the funding arrives and the end of the field work season.  This often means a month or more of inactivity during the best time of year for pest management.	Funding for pest management activities must be applied for each year with funding cycles interrupting the main seasonal window for on ground works the northern dry season is split by the June July FY break This means that long term pest management programmes most pest management activities even early intervention eradication programs are at least 5 10 years long are carried out inefficiently with work frantically taking place in Q4 of FY followed by patiently waiting for another round of funding then another frantic bout of activity from whenever the funding arrives and the end of the field work season This often means month or more of inactivity during the best time of year for pest management
Reviewing assessment tasks that relate to activities undertaken on estate areas. Delegations are often quite high, e.g. DG, when they could be set at a lower level; assessment templates need to be reviewed/modernised/made relevant, at time there are additional regional processes applied on top on the normal assessment requirements. The new permits hub also doesn't seem to make the process any easier and is currently quite clunky.	Reviewing assessment tasks that relate to activities undertaken on estate areas Delegations are often quite high DG when they could be set at lower level assessment templates need to be reviewed modernised made relevant at time there are additional regional processes applied on top on the normal assessment requirements The new permits hub also doesn seem to make the process any easier and is currently quite clunky
"One example is coordinating and developing a response to a views request from another Department that has come through for a response say in a fortnight. My tasks requires me to seek input from operational staff, draft a letter in most cases and prepare a map, write a briefing note and then progress via corro/mecs. This is not a quick process, and in many situations requires a lot of research into the history of such request and if QPWS has responded in the past and in what way (so not to contradict any previous responses). This is difficult due to poor historic filing challenges that we have.
Challenges associated with these sorts of tasks:
- Briefing notes - often as a briefing note is progressed through inline management details are modified/changed that in some cases alter the context of factual background information. This is not often discussed with the original author at the time, and only received by the original author once a brief is approved - this can have long term impacts for people who use briefs as the 'source of truth'. 
- number of approvers in briefing notes and delegations make items lengthy to get through approvals. In saying this though, it is critical upper management are aware of responses as they have long term impacts (i.e more land to manage etc)
- a big challenge I face daily is upper managements organisation (email management specifically)- as a mid-level supervisor I have now had to keep track of when I send anything to my supervisor/other mid level managers and continually follow up a response, otherwise it does not get actioned. I do this in the form of using Teams PLANNER and Spreadsheets to track what date I sent something up the line on, I also add calendar reminders to follow up in my calendar if a response has not been received by such date. This upper management is on top of managing my incoming workload for requests, my own MECs items and managing a large team - this is very time consuming. It is extremely frustrating to have to manage up - especially when responses are urgent to other departments and you then are the one who has to ask for an extension when in reality the drafted responses has sat in some ones in-tray for a week or more. 
- Time frames - for the author it is usually a VERY quick turn around on MECs items and a stressful task to complete it in the required time frame what is frustrating is once you have done your task as the author the item often then sits with Principal Rangers/Directors etc for over a week or more."	One example is coordinating and developing response to views request from another Department that has come through for response say in fortnight My tasks requires me to seek input from operational staff draft letter in most cases and prepare map write briefing note and then progress via corro mecs This is not quick process and in many situations requires lot of research into the history of such request and if QPWS has responded in the past and in what way so not to contradict any previous responses This is difficult due to poor historic filing challenges that we have Challenges associated with these sorts of tasks Briefing notes often as briefing note is progressed through inline management details are modified changed that in some cases alter the context of factual background information This is not often discussed with the original author at the time and only received by the original author once brief is approved this can have long term impacts for people who use briefs as the source of truth number of approvers in briefing notes and delegations make items lengthy to get through approvals In saying this though it is critical upper management are aware of responses as they have long term impacts more land to manage etc big challenge face daily is upper managements organisation email management specifically as mid level supervisor have now had to keep track of when send anything to my supervisor other mid level managers and continually follow up response otherwise it does not get actioned do this in the form of using Teams PLANNER and Spreadsheets to track what date sent something up the line on also add calendar reminders to follow up in my calendar if response has not been received by such date This upper management is on top of managing my incoming workload for requests my own MECs items and managing large team this is very time consuming It is extremely frustrating to have to manage up especially when responses are urgent to other departments and you then are the one who has to ask for an extension when in reality the drafted responses has sat in some ones in tray for week or more Time frames for the author it is usually VERY quick turn around on MECs items and stressful task to complete it in the required time frame what is frustrating is once you have done your task as the author the item often then sits with Principal Rangers Directors etc for over week or more
The requirement to enter non-burn treatments (eg. spraying, slashing/brush cutting, grazing) for P-Zones onto FLAME - extremely time consuming as it requires - setting the treatment up as a non-burn proposal, approving this proposal into a non-burn plan, initiating then finalising sit rep of treatment and finalising the treatment with a non-burn report that has a lot of irrelevant details (eg. weather observations) for non-burn treatments.	The requirement to enter non burn treatments eg spraying slashing brush cutting grazing for Zones onto FLAME extremely time consuming as it requires setting the treatment up as non burn proposal approving this proposal into non burn plan initiating then finalising sit rep of treatment and finalising the treatment with non burn report that has lot of irrelevant details eg weather observations for non burn treatments
"Staff are scared to make decisions on approving things for fear of repercussions, this leads to many layers of approvals that are unnecessary red tape. It would mean people with strong egos need to let go of control and trust their staff. 
"	Staff are scared to make decisions on approving things for fear of repercussions this leads to many layers of approvals that are unnecessary red tape It would mean people with strong egos need to let go of control and trust their staff
The timeframe in getting approval for pest plans etc.	The timeframe in getting approval for pest plans etc
Getting operational management to apply due care to management of protected area decisions.  There are too many encroachments on parks left unaddressed, too many QPWS structures built on the wrong tenure, too many protected areas progressed to the desired level and too many cows on protected areas. 	Getting operational management to apply due care to management of protected area decisions There are too many encroachments on parks left unaddressed too many QPWS structures built on the wrong tenure too many protected areas progressed to the desired level and too many cows on protected areas
Commercial Activity Agreements - Issue is that current policy states that any commercial activity requires a separate CAP or CAA.  A strict interpretation does not allow for a large event to allow subcontracting of multiple vendors. Hence an event such as a festival requires every vendor to complete a separate CAP. This either results in  the event not going ahead or multiple CAPs to be processed. The current interpretation of the policy severely restricts adaptive reuse opportunities on suitable sites in protected estates. 	Commercial Activity Agreements Issue is that current policy states that any commercial activity requires separate CAP or CAA strict interpretation does not allow for large event to allow subcontracting of multiple vendors Hence an event such as festival requires every vendor to complete separate CAP This either results in the event not going ahead or multiple CAPs to be processed The current interpretation of the policy severely restricts adaptive reuse opportunities on suitable sites in protected estates
Staff attending wildfires in different areas of the Queensland during wildfire periods.  The challenge is that some regions have set up wildfire suspense accounts to cover overtime and TA and provide that cost centre to incoming crews.  Some regions in South East Queensland  do not have wildfire suspense accounts and expect staff travelling to those areas to incur all expenses and costs associated with overtime and travel and then transfer it at a later date.	Staff attending wildfires in different areas of the Queensland during wildfire periods The challenge is that some regions have set up wildfire suspense accounts to cover overtime and TA and provide that cost centre to incoming crews Some regions in South East Queensland do not have wildfire suspense accounts and expect staff travelling to those areas to incur all expenses and costs associated with overtime and travel and then transfer it at later date
Getting approval for renewals, assessments or applications for resource authorities on state forests and protected areas.	Getting approval for renewals assessments or applications for resource authorities on state forests and protected areas
"Pest proposals in flame are clunky and overtly beaurocratic in nature.  They rely on the existence on non-existent VBMF's for parks to allow normal every day management of pests on park, however because these frameworks do not exist every pest management activity needs to be entered into and approved in flame as an off strategy proposal.  
This is a lengthy process which requires approval at three levels.  I have been working for over 1 year to get approval in flame to shoot pigs at mossman gorge.  This is even after my management unit was told directly by the then regional director to shoot the pigs. It is not that easy, we have to go through flame to do so. 
The approvals process takes that long because you have to rely on people taking the time to read over the plan and approve it.  If it hits any sort of a roadblock, such as a box not being ticked that common sense says should be ticked it is not a simple phone call to correct the error, it is returned to the very first step in creation and the overt process starts anew.  The process cripples management at the operational base level because it prevents us from doing what we are employed and obligated to do through beaurocracy. There is no point showing up to work when you aren't allowed to do your job and it is quite literally making me feel like there is no point in what I do anymore."	Pest proposals in flame are clunky and overtly beaurocratic in nature They rely on the existence on non existent VBMF for parks to allow normal every day management of pests on park however because these frameworks do not exist every pest management activity needs to be entered into and approved in flame as an off strategy proposal This is lengthy process which requires approval at three levels have been working for over 1 year to get approval in flame to shoot pigs at mossman gorge This is even after my management unit was told directly by the then regional director to shoot the pigs It is not that easy we have to go through flame to do so The approvals process takes that long because you have to rely on people taking the time to read over the plan and approve it If it hits any sort of roadblock such as box not being ticked that common sense says should be ticked it is not simple phone call to correct the error it is returned to the very first step in creation and the overt process starts anew The process cripples management at the operational base level because it prevents us from doing what we are employed and obligated to do through beaurocracy There is no point showing up to work when you aren allowed to do your job and it is quite literally making me feel like there is no point in what do anymore
Admin requirements impeded on implementing and delivering on-ground outcomes for operational Rangers.	Admin requirements impeded on implementing and delivering on ground outcomes for operational Rangers
	
the use Of Flame	the use Of Flame
Jus t being a field worker and then having to work out how the use the P.C and enter the data take a lot of time   	Jus being field worker and then having to work out how the use the and enter the data take lot of time
"Entering sit reps into FLAME. Complex button clicking order for it to accept the spatial  information, dropping out and loosing inputed data, having difficultly getting fire origin to ""take"" on the map and having a page rejected due to a field not being filled out, but having to click the tiny edit button hidden in the top corner, its response time and using big map, the modified map can only be saved as PDF or GIF not so you can modify your layers"	Entering sit reps into FLAME Complex button clicking order for it to accept the spatial information dropping out and loosing inputed data having difficultly getting fire origin to take on the map and having page rejected due to field not being filled out but having to click the tiny edit button hidden in the top corner its response time and using big map the modified map can only be saved as PDF or GIF not so you can modify your layers
Our team manages requested changes to the webpage and to the camping booking system. In the past our team had access to make small changes to both places but now all changes have to go to two other teams: WebServices and the Camping Booking team and the delegation for approvals for both is Regional Director. 	Our team manages requested changes to the webpage and to the camping booking system In the past our team had access to make small changes to both places but now all changes have to go to two other teams WebServices and the Camping Booking team and the delegation for approvals for both is Regional Director
I am aware that there is a lot of mapping data stored by individual work units, for example their walking tracks. However, it seems that this data is not always updated to spatial services in a reliable way. Our team helps to produce a range of interpretive materials, including webpages, signs, brochures, pdf maps. When we request a map from spatial services they often do not have the most up to date data (particularly walking tracks), or they are uncertain how reliable their data is. Usually they ask us to request data from the RIC, but it would make more sense if this was stored somewhere centrally. 	am aware that there is lot of mapping data stored by individual work units for example their walking tracks However it seems that this data is not always updated to spatial services in reliable way Our team helps to produce range of interpretive materials including webpages signs brochures pdf maps When we request map from spatial services they often do not have the most up to date data particularly walking tracks or they are uncertain how reliable their data is Usually they ask us to request data from the RIC but it would make more sense if this was stored somewhere centrally
"I'm an older generation team member with very field orientated skill sets.
My IT literacy is minimal and poor understanding how data systems function and interact with other systems. 
(eg Flame) "	an older generation team member with very field orientated skill sets My IT literacy is minimal and poor understanding how data systems function and interact with other systems eg Flame
Use of multiple systems requiring data/reporting instead of a single system delivering for multiple  areas of business.   	Use of multiple systems requiring data reporting instead of single system delivering for multiple areas of business
Emergency Hub is not up to date with data.	Emergency Hub is not up to date with data
"Increasing staff administration tasks taking up valuable Operational Officer field worker time.
 "	Increasing staff administration tasks taking up valuable Operational Officer field worker time
Other staff not seeing the value of the process and being uncooperative	Other staff not seeing the value of the process and being uncooperative
Delegation for approving pest management processes (Action Plans etc.) are too high - get caught up in RD backlog and will impact on being able to implement actions on the ground when they expire.	Delegation for approving pest management processes Action Plans etc are too high get caught up in RD backlog and will impact on being able to implement actions on the ground when they expire
